"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1976058141403119711","Wed Oct 08 22:52:28 +0000 2025","44","Remember I said Comey's Taylor Swift rant was highly likely covert comms? He talked about Swiftie family group chat which I speculated was code for anti-Trump conspiracy including his family (daughter Maurine sons-in-law prosecutors in Virginia Hillary-admiring wife Patrice). https://t.co/2ck6V9DyPT","1976058141403119711","https://pbs.twimg.com/media/G2xeSPIbUAAFjur.jpg","","en","","0","2","20","https://x.com/undefined/status/1976058141403119711","860751908943917056",
"1976058115473756626","Wed Oct 08 22:52:22 +0000 2025","23","Trump announces Israel and Hamas sign off on first phase of peace plan","1976058115473756626","","","en","","0","6","8","https://x.com/undefined/status/1976058115473756626","381696140",
"1976058104518529359","Wed Oct 08 22:52:20 +0000 2025","29","Trump: all hostages will be released very soon","1976058104518529359","","","en","","2","3","3","https://x.com/undefined/status/1976058104518529359","381696140",
"1976058092241682659","Wed Oct 08 22:52:17 +0000 2025","11","They said it could never be done! Well President Trump has gotten it done in under a year in his second term. 8 war conflicts resolved! Give this man the Nobel Peace Prize! I am so proud to have such a strong peaceful President.","1976058092241682659","","","en","","0","0","2","https://x.com/undefined/status/1976058092241682659","1452803710732709896",
"1976058071290957876","Wed Oct 08 22:52:12 +0000 2025","26","Trump: Israel and Hamas Agree on First Phase of Peace Plan","1976058071290957876","","","en","","0","7","6","https://x.com/undefined/status/1976058071290957876","381696140",
"1976058056518648004","Wed Oct 08 22:52:08 +0000 2025","11","*TRUMP: ISRAEL TO WITHDRAW TROOPS TO AGREED UPON LINE","1976058056518648004","","","en","","0","0","0","https://x.com/undefined/status/1976058056518648004","1528476795904876545",
"1976058051258876251","Wed Oct 08 22:52:07 +0000 2025","8","*TRUMP: ALL HOSTAGES TO BE RELEASED 'VERY SOON'","1976058051258876251","","","en","","0","0","0","https://x.com/undefined/status/1976058051258876251","1528476795904876545",
"1976058036981563783","Wed Oct 08 22:52:04 +0000 2025","24","Trump just EXPOSED the Democrat Party in a 1-minute video. They caused the shutdown and now they re pretending to be the victims. This needs to go viral #SchumerShutdown2025 https://t.co/mS9VAf2F55","1976058036981563783","https://pbs.twimg.com/ext_tw_video_thumb/1976057876713009152/pu/img/pzm3r3VqXCQjCDQX.jpg","","en","","0","3","8","https://x.com/undefined/status/1976058036981563783","1952394042018533376",
"1976057999568535682","Wed Oct 08 22:51:55 +0000 2025","8","*TRUMP: ISRAEL AND HAMAS HAVE BOTH SIGNED OFF ON FIRST PHASE OF PEACE PLAN ENSURING HOSTAGE RELEASE","1976057999568535682","","","en","","0","1","0","https://x.com/undefined/status/1976057999568535682","1841217208091099141",
"1976057998356197625","Wed Oct 08 22:51:54 +0000 2025","473","ONE OF THE LARGEST IMMIGRATION FRAUD RINGS IN HISTORY CRACKED BY THE TRUMP ADMINISTRATION @USCISJoe details Operation Twin Shield for @jsolomonReports and @AmandaHead. https://t.co/pC1WizdESt","1976057998356197625","https://pbs.twimg.com/amplify_video_thumb/1976057293629231104/img/TO_2E5VTinhNWWHJ.jpg","","en","","7","13","221","https://x.com/undefined/status/1976057998356197625","935942321756966912",
"1976057990642880877","Wed Oct 08 22:51:53 +0000 2025","18","*TRUMP: ISRAEL HAMAS SIGNED OFF ON FIRST PHASE OF PEACE PLAN","1976057990642880877","","","en","","1","0","3","https://x.com/undefined/status/1976057990642880877","1528476795904876545",
"1976057970720113145","Wed Oct 08 22:51:48 +0000 2025","16","Trump has already designated ANTIFA a domestic terror organisation now he s going to designate it a foreign terror organisation too. Will the NZ government follow suit? Can I get a reporter to ask Luxon and co please? https://t.co/KaEUlyV4DR","1976057970720113145","https://pbs.twimg.com/amplify_video_thumb/1976029946838470656/img/WOH9OAwnIjASSeQM.jpg","","en","","0","0","2","https://x.com/undefined/status/1976057970720113145","1463032969484926980",
"1976057953380626771","Wed Oct 08 22:51:44 +0000 2025","10515"," If Troops are sent to my city to make it safe I welcome it! Americans love what Trump is doing!! https://t.co/wmcAYO8d1n","1976057953380626771","https://pbs.twimg.com/amplify_video_thumb/1976057898699464704/img/QOJhmbXrXVg8x3Jh.jpg","","en","","32","136","2157","https://x.com/undefined/status/1976057953380626771","1261816778256265222",
"1976057944933613871","Wed Oct 08 22:51:42 +0000 2025","9","So basically Trump needs the U.S. government under his Presidency to be shut down or a major crisis unfolding to avoid the sworn in new Congresswomans vote to release the full Epstein files..... https://t.co/IkQsxFCHFq","1976057944933613871","https://pbs.twimg.com/tweet_video_thumb/G2xeOeCaYAAbBmv.jpg","","en","","0","0","0","https://x.com/undefined/status/1976057944933613871","214118695",
"1976057808039932332","Wed Oct 08 22:51:09 +0000 2025","1595","#BREAKING: Ceasefire between Hamas and Israel to be signed Thursday at noon in Cairo. Trump did it.","1976057808039932332","","","en","","10","87","138","https://x.com/undefined/status/1976057808039932332","97054224",
"1976057793074643107","Wed Oct 08 22:51:05 +0000 2025","341","Israeli official says the parties are awaiting President Trump's announcement that an agreement has been reached. (Maariv)","1976057793074643107","","","en","","1","11","30","https://x.com/undefined/status/1976057793074643107","16330790",
"1976057789459071071","Wed Oct 08 22:51:05 +0000 2025","17","Trump says he ll have Antifa designated as a Foreign Terrorist Organization. https://t.co/ZcGT4NnhvF","1976057789459071071","https://pbs.twimg.com/amplify_video_thumb/1976035774635053056/img/XcIzDZ5I8_b4bLWC.jpg","","en","","0","2","0","https://x.com/undefined/status/1976057789459071071","1362368612",
"1976057772262191542","Wed Oct 08 22:51:00 +0000 2025","11","President Trump declares⬇️ https://t.co/WEJcrgdoWH","1976057772262191542","https://pbs.twimg.com/media/G2xeEkNWcAAHw5K.jpg","","en","","0","1","4","https://x.com/undefined/status/1976057772262191542","1433206393092325376",
"1976057770743902323","Wed Oct 08 22:51:00 +0000 2025","3854","Instead of addressing health care and the other crises we face Trump is threatening to arrest elected officials &amp; is moving this country to authoritarianism. Sorry Mr. President too many Americans fought &amp; died to preserve democracy. We won t let you destroy our way of life. https://t.co/qL7UWN8K2G","1976057770743902323","https://pbs.twimg.com/amplify_video_thumb/1976057475926196224/img/9BAp4qWR-XglT38B.jpg","","en","","46","629","1092","https://x.com/undefined/status/1976057770743902323","216776631",
"1976057747696476447","Wed Oct 08 22:50:55 +0000 2025","11","Lmao Putin and co. can t even get a meeting with Trump or the state department or Trump s Special envoys Putin really has pissed Trump off","1976057747696476447","","","en","","0","2","1","https://x.com/undefined/status/1976057747696476447","171314307",
"1976057745271816604","Wed Oct 08 22:50:54 +0000 2025","752","It s not over till it s over. Till Omri hears the word daddy again. Thank you to the members of the Trump administration for meeting with us yesterday and hearing our cries. We won t stop until they re all home. https://t.co/NE0KXKVaU2","1976057745271816604","https://pbs.twimg.com/amplify_video_thumb/1976057596009136128/img/-Pt09lCb0f4MGWYd.jpg","","en","","1","37","71","https://x.com/undefined/status/1976057745271816604","1546103438190182406",
"1976057630700265923","Wed Oct 08 22:50:27 +0000 2025","211","Mayor Brandon Johnson had another mental breakdown and says President Trump is firing black women across this country. Black women are actually leaving Chicago in massive numbers because they re terrified of all the violent crime Johnson is allowing. https://t.co/0Vqpy58Jcg","1976057630700265923","https://pbs.twimg.com/amplify_video_thumb/1976033880730677248/img/elOr6JOCxC7CEkgm.jpg","","en","","3","34","58","https://x.com/undefined/status/1976057630700265923","32804484",
"1976057630117499146","Wed Oct 08 22:50:27 +0000 2025","23","1 YEAR AGO: Oprah warned that women would lose their right to vote if Trump won. Fast forward to today still waiting for that to happen. Do YOU remember her claim? Follow @Rep_Fighter for exclusive breaking updates! https://t.co/4FlqtRHEIz","1976057630117499146","https://pbs.twimg.com/amplify_video_thumb/1975266752092102656/img/JQ2ZuIS-sGJYo5lr.jpg","","en","","1","9","25","https://x.com/undefined/status/1976057630117499146","1615061283883126791",
"1976057579605471363","Wed Oct 08 22:50:15 +0000 2025","279"," BREAKING: Hamas sources have made clear to Drop Site that they believe the only path to a brokered agreement to end the genocide rests with Trump. The alternative is an indefinite continuation of the armed struggle against a U.S.-backed Israeli military. There is no other","1976057579605471363","","","en","","4","5","83","https://x.com/undefined/status/1976057579605471363","1776269230159147008",
"1976057565663658215","Wed Oct 08 22:50:11 +0000 2025","11","Mike Johnson won t say that he disagrees with threatening to arrest democratic governors and mayors because he agrees with arresting them. He agrees with the authoritarian actions being committed by Trump and ICE.","1976057565663658215","","","en","","0","1","0","https://x.com/undefined/status/1976057565663658215","737977061957095424",
"1976057547762044991","Wed Oct 08 22:50:07 +0000 2025","78","New: The Trump administration has yet to provide underlying evidence to lawmakers proving that alleged drug-smuggling boats targeted by the U.S. military in a series of fatal strikes were in fact carrying narcotics per US officials https://t.co/WulxCp58Dh","1976057547762044991","","","en","","1","7","35","https://x.com/undefined/status/1976057547762044991","19186003",
"1976057534625489108","Wed Oct 08 22:50:04 +0000 2025","6","something I don't understand about tucker and fuentes is they are constantly talking about trump's decision to bomb iran's nuclear facilities as if it was the worst decision in the world and got us into an ongoing war or something. really it happened we saw a couple cool b2","1976057534625489108","","","en","","0","0","2","https://x.com/undefined/status/1976057534625489108","362264486",
"1976057517576011875","Wed Oct 08 22:50:00 +0000 2025","100"," Donald Trump you might want to take a look at the state of Oregon who is actively instructing their employees to interfere with your mass deportation operation. https://t.co/hwI60SoiV9","1976057517576011875","https://pbs.twimg.com/amplify_video_thumb/1923191404630769664/img/5uvVm8702fckR404.jpg","","en","","1","6","35","https://x.com/undefined/status/1976057517576011875","57338175",
"1976057516569043304","Wed Oct 08 22:49:59 +0000 2025","57","Are Republican voters fine with Trump declaring war against fellow Americans including their family and friends? That's what Trump Miller and Bondi are planning to do against any person they declare to be Antifa or a left-wing terrorist. ","1976057516569043304","","","en","","2","6","14","https://x.com/undefined/status/1976057516569043304","21733692",
"1976057513046139148","Wed Oct 08 22:49:59 +0000 2025","86","Trump fell asleep during his only planned event today and had to have a note passed to him by Rubio practically drawn in crayon but members of the press who called Biden senile all day still won t touch his mental fitness. @Timodc is the only one who s pressed @jaketapper on this","1976057513046139148","","","en","","0","3","31","https://x.com/undefined/status/1976057513046139148","175881540",
"1976057496390553878","Wed Oct 08 22:49:55 +0000 2025","28","I wonder why the Trump Administration does not consider the Muslim Brotherhood a terrorist group?????","1976057496390553878","","","en","","0","10","4","https://x.com/undefined/status/1976057496390553878","27670488",
"1976057492854526263","Wed Oct 08 22:49:54 +0000 2025","6","To all the idiots that worship Trump and America and complain about Canada think about this. You are already struggling but now you have to pay and extra $1000 a month minimum for health insurance","1976057492854526263","","","en","","0","0","1","https://x.com/undefined/status/1976057492854526263","1412707599099863041",
"1976057490933481747","Wed Oct 08 22:49:53 +0000 2025","14","News from Egypt is that an agreement has been reached. Ceasefire and full hostage release. Trump will make the announcement on Truth Social soon...","1976057490933481747","","","en","","1","0","3","https://x.com/undefined/status/1976057490933481747","917691656",
"1976057439868027037","Wed Oct 08 22:49:41 +0000 2025","6","Trump be trolling. ","1976057439868027037","","","en","","0","1","3","https://x.com/undefined/status/1976057439868027037","1486769429220372482",
"1976057420712419714","Wed Oct 08 22:49:37 +0000 2025","31","WATCH: Rep. @BernyJacques says Floridians need to be BOLD in preserving their way of life just look across the country to these cities and states where Trump has needed to send federal troops just to restore peace and safety https://t.co/MU2RS5zE1H","1976057420712419714","https://pbs.twimg.com/amplify_video_thumb/1976048813417611264/img/mAei9YvE6QelQ7s2.jpg","","en","","0","1","8","https://x.com/undefined/status/1976057420712419714","1398376668192985091",
"1976057403993944484","Wed Oct 08 22:49:33 +0000 2025","134","SWALWELL: It s coming to an end guys. I ve spoken to a lot of House Republicans this week and they ve confided that Trump s support is fading. As one told me this Epstein bomb is about to drop and no [one] wants to defend him. It s just a matter of time. Thoughts? https://t.co/e4XUfcIZjl","1976057403993944484","https://pbs.twimg.com/media/G2xdudVXIAAhC2k.jpg","","en","","21","249","136","https://x.com/undefined/status/1976057403993944484","1870136689752182784",
